Facies,Sample,Area,Comment,Mineral,Texture,Ta2O5,Nb2O5,SnO2,TiO2,Al2O3,FeO,MnO,CaO,MgO,Total_mol
SAPN,BU04,Ore1,BU04-Ore1.2 ,CGM,patchy,2.982895466928964,47.82597379603567,0.11221834560170704,1.9655278532632774,0.9451720514447343,21.092661156660796,24.569929425484343,0.5056219045805037,0.0,100.0
SAPN,BU04,Ore1,BU04-Ore1.3 ,CGM,rim,12.948768223723775,37.898041626710665,0.6947702349312757,3.155337672395168,0.06314408971818856,26.964778604454953,18.178907336674634,0.0962522113913258,0.0,99.99999999999999
SAPN,BU04,Ore1,BU04-Ore1.4 ,CGM,rim,11.329650554558771,39.262286213469054,0.6821238965895567,3.686624472719539,0.035756522959021875,22.66450196888776,22.266844670528585,0.07221170028769452,0.0,99.99999999999997
SAPN,BU04,Ore1,BU04-Ore1.5 ,CGM,core,8.188020195621743,41.978621835989294,0.6150976455652191,3.6913439333065003,0.10374818617287171,24.06581942416553,21.101499619719398,0.2558491594594585,0.0,100.00000000000001
SAPN,BU04,Ore1,BU04-Ore1.6 ,CGM,core,7.128207031625841,41.84025309243148,0.6273985713731066,4.549584157213136,0.08491087933882836,24.946917434825743,20.74883871059407,0.07389012259780518,0.0,100.00000000000001
SAPN,BU04,Ore1,BU04-Ore1.7 ,CGM,core,7.520486967773313,41.99223164016899,0.6691364094095286,4.731768390296013,0.018590873597806257,25.248458871839908,19.816082217435074,0.0032446294793826956,0.0,100.00000000000003
SAPN,BU04,Ore1,BU04-Ore1.8 ,CGM,patchy,8.087354253790185,42.80411823032212,0.5612663116282588,2.895830918684803,0.01876268657093728,23.098126880840283,22.52471687116019,0.00982384700324108,0.0,100.00000000000003
SAPN,BU04,Ore1,BU04-Ore1.9 ,CGM,rim,8.417551007679815,40.76950222661607,1.0095977685474793,4.847024318812688,0.05239294985568271,23.77000096534137,20.993785575340752,0.14014518780613358,0.0,99.99999999999999
SAPN,BU04,Ore1,BU04-Ore1.10 ,CGM,patchy,9.39864099595198,42.35218350814014,0.31057489471464084,1.6521133821779184,0.0,22.869166464959026,23.351967320227182,0.06535343382908373,0.0,99.99999999999999
SAPN,BU04,Ore2,BU04-Ore2_coltan2 ,CGM,core,11.146739508561957,32.8607277910573,1.1179418825624459,14.38049025424459,0.09098358210410305,26.60333921045345,13.70516285367945,0.0946149173367128,0.0,100.00000000000001
PAPN,BU19TS,Ore1,BU19TS-coltan1.1 ,CGM,rim,19.48008074078867,29.234415224477583,1.2453995758031062,6.023113176747281,0.0,28.412743059158224,15.604248223025127,0.0,0.0,99.99999999999999
PAPN,BU19TS,Ore1,BU19TS-coltan1.2 ,CGM,core,16.39161358980044,33.2589860262246,0.8496854627103451,4.795612273201386,0.0,27.745656297946102,16.908172443594076,0.05027390652305032,0.0,100.0
PAPN,BU19TS,Ore1,BU19TS-coltan1.3 ,CGM,patchy,11.53130822155898,37.12605863002965,0.7770749931415234,4.768339192942041,0.0,26.375411326773985,19.272097828971994,0.14970980658183378,0.0,100.00000000000001
PAPN,BU19TS,Ore1,BU19TS-coltan1.4 ,CGM,core,17.292429504395223,31.829824682536987,0.8994464139147711,5.434928023978468,0.016583603058026614,27.896007274979723,16.585110628919942,0.04566986821685095,0.0,99.99999999999999
PAPN,BU19TS,Ore1,BU19TS-coltan1.5 ,CGM,rim,18.930117915648747,29.254971455506446,1.219571125353729,6.563898983141817,0.20354255045314948,28.852616887729226,14.90973821382947,0.06554286833741271,0.0,100.00000000000001
PAPN,BU19TS,Ore1,BU19TS-coltan1.6 ,CGM,rim,17.88372949525988,30.173290648437874,1.593178624732976,6.686080025601453,0.0,27.62031268292994,16.01255905070243,0.030849472335440338,0.0,100.00000000000001
PAPN,BU19TS,Ore1,BU19TS-coltan1.7 ,CGM,core,18.874488151387883,29.32737205946092,1.3601633624041014,7.08112407599837,0.0,28.57423424645067,14.728069792347368,0.05454831195068174,0.0,100.0
PAPN,BU19TS,Ore2,BU19TS-coltan2.2 ,CGM,core,16.524257835970328,33.243175276850536,0.8113422739374992,4.094600764909847,0.005266413507001819,28.096580979833096,17.181220614071325,0.04355584092037481,0.0,100.00000000000001
PAPN,BU19TS,Ore2,BU19TS-coltan2.3 ,CGM,core,14.880045462874381,35.20672794974723,0.7736526422382063,4.066006338200605,0.013305790911585805,27.820357851006516,17.135403428535128,0.10450053648634143,0.0,100.0
PAPN,BU19TS,Ore2,BU19TS-coltan2.4 ,CGM,patchy,14.911877598580025,30.322531495018456,0.5226383426768141,3.704443961036212,2.655304081532302,25.540308101158775,21.709718984951053,0.6331774350463721,0.0,100.00000000000001
PAPN,BU19TS,Ore2,BU19TS-coltan2.5 ,CGM,patchy,12.679062198709925,37.439895092764075,0.5511782280252676,3.8529396627233994,0.0,26.085442270436342,19.391482547341,0.0,0.0,100.00000000000001
PAPN,BU19TS,Ore2,BU19TS-coltan2.6 ,CGM,rim,17.68084306010037,31.181890883887604,0.856706313892329,5.277543445324218,0.012367392219114322,26.398471599187367,18.479152636318886,0.11302466907012562,0.0,100.00000000000003
PAPN,BU19TS,Ore3,BU19TS-coltan3.1 ,CGM,rim,13.806173774446599,35.35564857542847,0.6080936679463305,4.9303079924016115,0.006510338577433354,27.433914906747496,17.798480910857652,0.06086983359441967,0.0,100.00000000000001
PAPN,BU19TS,Ore3,BU19TS-coltan3.2 ,CGM,core,19.497295281887357,27.808644554885696,1.1551865368945395,8.074659650986035,0.0,28.911383561866167,14.452756262429745,0.10007415105047059,0.0,100.0
PAPN,BU19TS,Ore3,BU19TS-coltan3.3 ,CGM,core,20.418422138013355,28.127211019339747,1.1502832966180805,5.833685879952395,0.01457589592704245,27.611817568471018,16.502126572949045,0.34187762872931693,0.0,100.0
Albitized,BU24,Ore1,BU24-coltan1.1 ,CGM,rim,4.645034809864579,47.24717007548164,0.06950280868336609,1.1500571525572574,0.004076604534565265,30.133326608774546,16.75078620197785,4.57381262183889e-05,0.0,100.00000000000003
