Facies,Sample,Area,Comment,Mineral,Texture,Ta,Nb,Sn,Ti,Al,Fe,Mn,Ca,Mg,Sum
SAPN,BU04,Ore1,BU04-Ore1.9 ,CGM,rim,1.3347525828051954,6.464730459846341,0.08004485080836755,0.38429100236828145,0.008307835031454271,1.8845784333724231,1.6644692437253357,0.011111257372915895,0.0,11.832285665330314
SAPN,BU04,Ore1,BU04-Ore1.10 ,CGM,patchy,1.4601437951732716,6.579704234695779,0.024124977517999233,0.12833361253764292,0.0,1.7764414838792502,1.8139447076659538,0.005076553670892609,0.0,11.78776936514079
SAPN,BU04,Ore2,BU04-Ore2_coltan2 ,CGM,core,1.834160652496555,5.407128594012782,0.09197689652651153,1.1831320435758705,0.014971060029738196,2.188747569069527,1.127570552042049,0.0077842923657144404,0.0,11.85547166011875
PAPN,BU19TS,Ore1,BU19TS-coltan1.1 ,CGM,rim,3.0948754446839146,4.644584127851322,0.09893071330814078,0.4784575926381042,0.0,2.257020953352117,1.2395535034173037,0.0,0.0,11.8134223352509
PAPN,BU19TS,Ore1,BU19TS-coltan1.2 ,CGM,core,2.586042432325213,5.247143525482244,0.0670258192904847,0.37829273974574407,0.0,2.188663248621439,1.333768977430443,0.003965761357022761,0.0,11.80490250425259
PAPN,BU19TS,Ore1,BU19TS-coltan1.3 ,CGM,patchy,1.843934414826716,5.936708643933104,0.062129781600841254,0.38124489305534187,0.0,2.1088036030344592,1.5408695938900296,0.011969806863595096,0.0,11.885660737204088
PAPN,BU19TS,Ore1,BU19TS-coltan1.4 ,CGM,core,2.7406922294128986,5.04473666634473,0.07127702318413252,0.43069324061579095,0.002628349707902487,2.210631257763699,1.3142943220639103,0.003619128616612858,0.0,11.818572217709677
PAPN,BU19TS,Ore1,BU19TS-coltan1.5 ,CGM,rim,3.019449387291837,4.6663156579467,0.09726387610517778,0.5234875147425581,0.03246606450060867,2.3010690364322146,1.18908926280944,0.005227209215615921,0.0,11.834368009044148
PAPN,BU19TS,Ore1,BU19TS-coltan1.6 ,CGM,rim,2.856565892819638,4.819575970622164,0.12723911200367277,0.533983366357058,0.0,2.2058945585143115,1.2788420349659362,0.002463791193784808,0.0,11.824564726476567
PAPN,BU19TS,Ore1,BU19TS-coltan1.7 ,CGM,core,3.0074000193592187,4.672928801668845,0.10836201992913398,0.5641417269817883,0.0,2.2764631267532325,1.1733615508766106,0.004345775978153613,0.0,11.807003021546981
PAPN,BU19TS,Ore2,BU19TS-coltan2.2 ,CGM,core,2.609211715615327,5.2491605527842955,0.0640562434799176,0.32327262115560224,0.0008315767012441467,2.218251766252788,1.3564736933970147,0.0034387750282355105,0.0,11.824696944414427
PAPN,BU19TS,Ore2,BU19TS-coltan2.3 ,CGM,core,2.340140590043459,5.53685762072302,0.060835027527740865,0.3197243750073593,0.002092562248718995,2.1876125580095676,1.3474170220088468,0.008217244622106353,0.0,11.802897000190818
PAPN,BU19TS,Ore2,BU19TS-coltan2.4 ,CGM,patchy,2.4641339852014896,5.010688954510501,0.043182050471027016,0.30607300121391096,0.4387794216451338,2.11022189420919,1.7937263770554945,0.052315143617764355,0.0,12.219120827924511
PAPN,BU19TS,Ore2,BU19TS-coltan2.5 ,CGM,patchy,1.9961791236633983,5.894500382207109,0.04338847995846934,0.30330152178943126,0.0,2.053433230143392,1.5264880016845335,0.0,0.0,11.817290739446335
PAPN,BU19TS,Ore2,BU19TS-coltan2.6 ,CGM,rim,2.8138347239556887,4.962471926787309,0.06817067393416003,0.4199498562698549,0.0019682204944997533,2.100605038816792,1.470441233503495,0.008993709672442356,0.0,11.846435383434242
PAPN,BU19TS,Ore3,BU19TS-coltan3.1 ,CGM,rim,2.1929158379409865,5.615745751747249,0.048293548132041626,0.39155491807859333,0.0010340753933748056,2.178745084575156,1.4135187387308745,0.004834156962050322,0.0,11.846642111560325
PAPN,BU19TS,Ore3,BU19TS-coltan3.2 ,CGM,core,3.1357308344560373,4.472436968023493,0.09289375759349033,0.649319787161882,0.0,2.324894699265008,1.162211291354857,0.008047413670564128,0.0,11.845534751525332
PAPN,BU19TS,Ore3,BU19TS-coltan3.3 ,CGM,core,3.253978770667359,4.482488750422007,0.09165736221311858,0.46484223608950176,0.0023228854604662266,2.2001765753503677,1.3149294587085683,0.027241638421712382,0.0,11.8376376773331
Albitized,BU24,Ore1,BU24-coltan1.1 ,CGM,rim,0.7220342434403761,7.344202163501919,0.00540183334881601,0.0893836838742745,0.0006336762137216901,2.341994685820513,1.301889193240424,3.554816563520828e-06,0.0,11.805543034256608
Albitized,BU24,Ore1,BU24-coltan1.2 ,CGM,core,0.7874341276410507,7.289825129239223,0.006020454629669106,0.08398907306550121,0.0026484195144469737,2.2519384274903342,1.3709181799222556,3.5657247104722015e-06,0.0,11.79277737722719
Albitized,BU24,Ore2,BU24-coltan2.1 ,CGM,rim,1.0250697147368684,6.978995882845131,0.010809637712252844,0.1521710209261403,0.011032059994729929,2.32884863216581,1.318474308206741,3.65840357559752e-06,0.0,11.825404914991246
Albitized,BU24,Ore2,BU24-coltan2.2 ,CGM,core,0.9738941788102822,7.055934857984436,0.010044223360915394,0.15225470365387675,0.00369099023878867,2.7730046170950895,0.8222848505160807,3.6010142644160897e-06,0.0,11.791112022673735
Albitized,BU24,Ore2,BU24-coltan2.3 ,CGM,core,1.1193266462958567,6.91421316006924,0.013671309940999077,0.14497574804561392,0.0,2.590499850548718,1.0083528898394503,3.627725867959744e-06,0.0,11.791043232465746
Albitized,BU24,Ore3,BU24-coltan3.1 ,CGM,core,0.9486571104204672,7.013277345415133,0.00695126405305633,0.10041368091242672,0.08535198027239965,2.9492541382849335,0.8031480916274627,3.770159037402513e-06,0.0,11.907057381144917
Albitized,BU24,Ore3,BU24-coltan3.2 ,CGM,rim,3.643584970783106,4.423107864796335,0.003578647807301016,0.0980417216908713,0.0,2.797883596725857,0.8321393192652982,4.2560638967750395e-06,0.0,11.798340377132664
Albitized,BU24,Ore3,BU24-coltan3.3 ,CGM,rim,2.23289114992662,5.7370197331471315,0.016802074661676998,0.2065282226678478,0.0,3.027378184690937,0.6011800889368576,3.9240287786309684e-06,0.0,11.82180337805985
Albitized,BU24,Ore3,BU24-coltan3.4 ,CGM,core,1.046064120517133,7.021254549643915,0.00700621659659783,0.08819993113661972,0.0,2.7151035348434327,0.926183867049466,3.6272380427964015e-06,0.0,11.803815847025207
Albitized,BU24,Ore3,BU24-coltan3.5 ,CGM,core,1.0596796162888453,7.0128443463324,0.006672306325482246,0.08944970864534109,0.0,2.4595059016569016,1.166936542987686,3.618860656325436e-06,0.0,11.795092041097314
Albitized,BU24,Ore3,BU24-coltan3.6 ,CGM,rim,2.3862508078918947,5.693671609229118,0.00663242857220756,0.11246064448159411,0.0,2.858375787484233,0.7036281188566178,3.904749011631665e-06,0.0,11.761023301264675
Albitized,BU24,Ore4,BU24-Ore4.1,CGM,rim,1.4747076332666578,6.640340529462733,0.004353126862651769,0.06594668485523476,0.0,2.7481095505637163,0.8236643310875528,0.0,6.088089477453133e-06,11.757127944188024
Albitized,BU24,Ore4,BU24-Ore4.2,CGM,core,0.8207217373466498,7.184348249275572,0.01829093092736482,0.15228090440886857,0.0,2.5508446456639855,1.0953308191031044,0.0,5.898004891043894e-06,11.821823184730436
Albitized,BU24,Ore4,BU24-Ore4.3,CGM,core,0.5714260872441344,7.485974662789676,0.008277207732117646,0.09714693887386482,0.0,2.9059362062282923,0.7339200926463598,0.005787717714695356,5.81511416843983e-06,11.808474728343306
Albitized,BU24,Ore4,BU24-Ore4.4,CGM,rim,1.2173902118511977,6.89472980060524,0.0028939682984281245,0.050824620168918616,0.0,2.5891969067761678,1.008700256385927,0.01435958580605985,6.042956061812705e-06,11.778101392848003
Albitized,BU24,Ore4,BU24-Ore4.5,CGM,core,0.7451602496889507,7.271945159791719,0.017677906877443906,0.14614487275893637,0.0,2.777326094165063,0.8457646253300232,0.006494288070026576,5.909460455282935e-06,11.810519106142618
Albitized,BU24,Ore4,BU24-Ore4.6,CGM,rim,1.176759035363278,6.932291482670779,0.004440607942172433,0.056290105664727606,0.0,2.860444757654726,0.7444434628522921,0.0010180695533886655,5.987640650527639e-06,11.775693509342013
Albitized,BU24,Ore4,BU24-Ore4.7,CGM,core,0.8079199505375041,7.180186163404112,0.01749101885938382,0.15960446284122778,0.0,2.9608564408193847,0.7108418484564504,0.0038394893122501756,5.9731566588489895e-06,11.840745347386973
